text,datum,statsminister
Regeringen skall sträva efter bättre hushållning med skattemedel. Ökade ansträngningar görs för att effektivisera den statliga förvaltningen och tillvarata alla möjligheter till besparingar.,1976-10-08,Torbjörn Fälldin
"En väl fungerande samhällsekonomi förutsätter ett decentraliserat näringsliv. Därför måste näringspolitiken utformas så, att mindre och medelstora företag får goda utvecklingsmöjligheter. Vårt lands ekonomi skall även i framtiden bygga på en socialt styrd marknadshushållning med fritt konsumtionsval, fri konkurrens och en aktiv konsumentpolitik. Samhället skall ta vara på enskilda människors vilja till initiativ och ansvar.",1976-10-08,Torbjörn Fälldin
Förslag kommer att läggas fram om vissa lättnader i fråga om arbetsgivaravgifter samt om ändrade skatteregler för familjeföretag. Avvecklingen av den faktiska sambeskattningen fullföljs. De mindre företagen ges goda kreditmöjligheter.,1976-10-08,Torbjörn Fälldin
Ägandet i samhället måste spridas. Privat och statlig maktkoncentration skall motverkas. Regeringen avser att under mandatperioden lägga fram förslag om skärpt lagstiftning i syfte att motverka monopol och karteller samt sådana sammanslagningar av företag som minskar konkurrensen. Därvid bör särskilt de multinationella företagens verksamhet uppmärksammas. De stora skattefria stiftelsernas maktställning begränsas. Regeringen avser inte att placera statliga representanter i industriföretagens styrelser.,1976-10-08,Torbjörn Fälldin
Möjligheterna att ge AP-fondernas förvaltning mera decentraliserade former kommer att prövas. Förslag kommer att läggas fram om en begränsning av fjärde AP-fondens rätt att köpa aktier i ett och samma företag.,1976-10-08,Torbjörn Fälldin
Utredningsarbetet om löntagarnas andel i företagens kapitaltillväxt fullföljs.,1976-10-08,Torbjörn Fälldin
Norrbottens Järnverk i Luleå skall byggas ut till ett metallurgiskt centrum.,1976-10-08,Torbjörn Fälldin
"Regionalpolitiken skall förstärkas, så att människor i olika landsdelar ges allsidig sysselsättning och service samt en god miljö. Bebyggelse i glesbygder och i mindre tätorter skall underlättas. Samhällsplaneringen inriktas på att i större utsträckning samordna boende, arbete, service och fritidsfunktioner.",1976-10-08,Torbjörn Fälldin
Förslag skall läggas fram om ett fortsatt lägre uttag av den allmänna arbetsgivaravgiften inom det inre stödområdet.,1976-10-08,Torbjörn Fälldin
En ny trafikpolitik byggd på trafik i samverkan läggs fast. Kollektivtrafiken främjas. Ett program för den långsiktiga vägpolitiken läggs fram.,1976-10-08,Torbjörn Fälldin
Nya arbetstillfällen måste skapas inom näringslivet. Det ger också resurser till den ökade sysselsättning som krävs i statlig och kommunal verksamhet.,1976-10-08,Torbjörn Fälldin
"Alla ungdomar skall garanteras arbete, praktik eller utbildning. Arbetsförmedlingen förstärks och effektiviseras. Stödet till halvskyddad sysselsättning förbättras. Arbetslivet måste anpassas till de handikappades krav.",1976-10-08,Torbjörn Fälldin
En femte semestervecka införs fr.o.m. 1978. Förslag om allmän arbetslöshetsförsäkring framläggs under mandatperioden.,1976-10-08,Torbjörn Fälldin
"Regeringen avser att föra en kraftfull politik för att reformera arbetslivet och fördjupa arbetsdemokratin. Den nya arbetsrätten skall fullföljas, kampen mot dåliga arbetsmiljöer intensifieras. Förslag framläggs om en ny arbetsmiljölag. Arbetarskyddet ges ökade resurser. Kontrollen av kemiska ämnen i arbetsmiljön skärps.",1976-10-08,Torbjörn Fälldin
Arbetet på jämställdhet mellan kvinnor och män påskyndas. Villkoren för deltidsarbetande förbättras. Utredningen om jämställdhet mellan könen ges i uppdrag att under mandatperioden utarbeta förslag till lag mot könsdiskriminering.,1976-10-08,Torbjörn Fälldin
Det familjepolitiska reformarbetet fortsätter. Samhällets barnomsorg byggs ut enligt riksdagens beslut. Utbildningen av personal för barnomsorgen ökas.,1976-10-08,Torbjörn Fälldin
"Normer fastställs för personaltäthet och gruppstorlek inom förskolan. En allmän föräldrautbildning byggs ut av stat, landsting och kommun i samverkan.",1976-10-08,Torbjörn Fälldin
De allmänna barnbidragen och bostadsbidragen förbättras. Föräldrapenningen vid sjukdom utvidgas till att omfatta även ledighet vid skolstart.,1976-10-08,Torbjörn Fälldin
Småbarnsföräldrar ges lagfast rätt till kortare arbetstid och förlängd tjänstledighet. Föräldraförsäkringen byggs under perioden ut med en rätt till ytterligare ledighet motsvarande två månader på heltid. Den kompletteras med ett vårdnadsbidrag till småbarnsföräldrar. Stödet utformas så att det främjar valfrihet och jämställdhet.,1976-10-08,Torbjörn Fälldin
"Alla människor skall, oberoende av inkomst, ha rätt till en god bostad. Det system med generella räntesubventioner och selektiva bostadsbidrag som riksdagen beslutat ligger fast. Byggande och förvaltning av bostäder skall ske i former som motverkar spekulation och stimulerar en kostnadspressande konkurrens. Lånereglerna för enskilt byggda flerfamiljshus förbättras. Valfrihet och likvärdiga boendekostnader mellan olika upplåtelseformer skall eftersträvas. Rätten att göra avdrag för räntekostnader bibehålls.",1976-10-08,Torbjörn Fälldin
"Det är angeläget att förbättra bristfålliga boendemiljöer och att öka de enskilda människornas inflytande över sitt boende. Bättre möjligheter för den enskilde att äga sin bostad skapas, bl.a. genom att underlätta för hyresgäster att i bostadsrättsföreningens form överta ägandet.",1976-10-08,Torbjörn Fälldin
Bostadsadministrationen ses över i syfte att åstadkomma förenklade och decentraliserade beslutsformer. Låneregler och andra bestämmelser görs mindre omfattande och detaljerade.,1976-10-08,Torbjörn Fälldin
Markpolitiken skall ge förutsättningar för en socialt inriktad bostadspolitik. All markspekulation skall motverkas och den fysiska planeringen av mark ske i former som säkerställer såväl angelägna samhällsintressen som den enskildes rättstrygghet. Mark för bostadsändamål skall kunna upplåtas både med äganderätt och med tomträtt. Behovet av fritidsbebyggelse skall tillgodoses efter kommunala beslut inom riksplaneringens ram. Enklare regler eftersträvas för glesbebyggelse.,1976-10-08,Torbjörn Fälldin
"Förslag framläggs om nya riktlinjer för jordbrukspolitiken. Jordbruksmarken skall utnyttjas rationellt och skyddas från exploatering får andra ändamål. Därigenom kan vi trygga vårt livsmedelsbehov och bidra till världens livsmedelsförsörjning. Sysselsatta i jordbruket tillförsäkras en med andra grupper likvärdig ekonomisk och social standard. Jordbrukspolitiken måste, särskilt i norra Sverige, ses som ett led i den aktiva regionalpolitiken. Ökad vikt läggs vid samspelet mellan jordbruk och miljö.",1976-10-08,Torbjörn Fälldin
Jordförvärvslagstiftningen liksom jordbrukspolitiken i övrigt inriktas på att familjelantbruket skall vara den dominerande företagsformen.,1976-10-08,Torbjörn Fälldin
Det svenska fisket skall ges bättre villkor.,1976-10-08,Torbjörn Fälldin
Miljöpolitiken skall bygga på en ekologisk grundsyn. Återvinning av resurser och återställande av förorenade sjöar och vattendrag främjas. Utsläppen av svavel och andra luftföroreningar skall nedbringas. Våra hav och kuster ges ett bättre skydd mot oljeutsläpp och annan nedsmutsning. Skärpta åtgärder mot supertankbåtar i Östersjön är nödvändiga.,1976-10-08,Torbjörn Fälldin
Miljölagstiftningen ses över i syfte att ge allmänheten vidgade möjligheter till inflytande över beslut som berör den egna miljön.,1976-10-08,Torbjörn Fälldin
Regeringen skall föra en energipolitik som tryggar energiförsörjning och sysselsättning samt ger handlingsfrihet för framtiden.,1976-10-08,Torbjörn Fälldin
Regeringen avser att presentera program för effektivare energianvändning främst i bostads- och lokaluppvärmning samt i industriprocesser. En plan skall upprättas för utbyggnad av kraftvärmeverk. Särskilda finansiella förutsättningar skall skapas för en snabb utbyggnad av industriellt mottryck och utnyttjande av spillvärme.,1976-10-08,Torbjörn Fälldin
"Energiforskningen skall i ökad utsträckning inriktas på att utveckla teknik för användning av förnyelsebara energikällor, såsom solenergi, vindkraft och jordvärme.",1976-10-08,Torbjörn Fälldin
Vidare skall eftersträvas ett effektivare utnyttjande av vattenkraften i redan exploaterade älvar. De outbyggda Norrlandsälvarna och andra värdefulla älvsträckor skall bevaras. Elproduktionen i oljekondensanläggningar skall så långt som möjligt begränsas.,1976-10-08,Torbjörn Fälldin
"Kärnkraften är förenad med stora problem och risker. Främst gäller det hanteringen av det använda bränslet och det högaktiva avfallet. Satsning på kärnkraft kan inte ske, om inte dessa risker bemästras på betryggande sätt. I nuvarande läge måste ställas som villkor att kärnkraftsaggregat, som f.n. är under byggnad, inte får tas i drift, om inte det berörda kraftföretaget dels kan förete godtagbart avtal om upparbetning av utnyttjat kärnbränsle, dels kan visa hur och var en helt säker slutlig deponering av det högaktiva avfallet kan ske. Barsebäck 2, som är färdigt, tas ur drift om avtal om upparbetning icke företetts före den l oktober 1977. Regeringen avser att snarast ta initiativ till förhandlingar i hithörande frågor med bl.a. Svensk Kärnbränsleförsörjning AB och de berörda kraftföretagen.",1976-10-08,Torbjörn Fälldin
"För att förbereda nästa beslut rörande energipolitiken tillkallas en särskild kommission. Den skall bl.a. ha till uppgift att granska och utvärdera erfarenheter och forskningsrapporter rörande kärnkraftens säkerhet och miljöpåverkan samt hanteringen av det högaktiva avfallet. Den skall vidare ange tänkbara modeller för ett nytt energipolitiskt förslag som skall föreläggas riksdagen 1978. En beredskapsplan för avveckling av kärnkraften skall upprättas för att sättas i kraft, om säkerhetsproblemen inte kan lösas. Kommissionen skall belysa den försörjningstrygghet som kan uppnås på längre sikt med de olika handlingsalternativen och ge en bedömning av kostnaderna. Vidare skall klarläggas möjligheten att, om opinionen inför nämnda riksdagsbeslut fortfarande är starkt splittrad, företa en rådgivande folkomröstning.",1976-10-08,Torbjörn Fälldin
Ny lagstiftning om socialvården samt hälso- och sjukvården utarbetas. Riktlinjerna får hälso- och sjukvården skall syfta till utbyggnad av öppenvården. Den organiseras stegvis som ett system med husläkare och mindre vårdenheter. Även hemsjukvården byggs ut. En kraftig utbyggnad av långtidsvården är nödvändig.,1976-10-08,Torbjörn Fälldin
Sjukförsäkringens ersättningsregler för privatläkarvård skall vidgas så att även offentliganställda läkare med fritidspraktik får rätt att ansluta sig till försäkringen. Tandvårdsförsäkringens regler om etableringskontroll ses över och försäkringen utvidgas till att omfatta även barn och ungdom.,1976-10-08,Torbjörn Fälldin
Samhällets stöd till de handikappade förbättras.,1976-10-08,Torbjörn Fälldin
Pensionärerna tillförsäkras en rättvis andel av det växande välståndet. Förbättringen av pensionerna fortsätter. De garantier som getts om värdesäkring av pensionerna infrias. Vid utformningen aven varaktig skattereform skall beskattning av folkpension och sidoinkomster beaktas.,1976-10-08,Torbjörn Fälldin
Åtgärder vidtas för att förbättra invandrarnas villkor i det svenska samhället.,1976-10-08,Torbjörn Fälldin
Ett samlat alkoholpolitiskt program utarbetas. Insatserna mot narkotikamissbruket förstärks. Ökade resurser ges till förebyggande åtgärder och upplysningsverksamhet.,1976-10-08,Torbjörn Fälldin
Kampen mot brottsligheten intensifieras. Den enskildes trygghet till liv och egendom måste förstärkas. Polisen ges ökade personella resurser. Kriminalvården förbättras i syfte att främja återanpassning. Frivården spelar därvid en stor roll.,1976-10-08,Torbjörn Fälldin
Reformpolitiken på skolans område förs vidare. Den skall syfta till en god utbildning anpassad till elevernas skiftande anlag och intressen. Små skolenheter och mindre klasser eftersträvas.,1976-10-08,Torbjörn Fälldin
"Läroplansarbetet för grundskolan inriktas på att ge bättre baskunskaper, större inslag av praktisk yrkesorientering samt en närmare kontakt mellan skolan, arbetslivet och samhället i övrigt. Genom en vidgad lokal beslutanderätt får lärare, elever och föräldrar ett ökat inflytande över skolan.",1976-10-08,Torbjörn Fälldin
Betygssystemet i grundskolan och gymnasieskolan reformeras. Betygsfrågan inom vårdutbildningen skall ges en snar lösning.,1976-10-08,Torbjörn Fälldin
Fler platser inrättas i vårdutbildningen för att möta behovet av personal i vården.,1976-10-08,Torbjörn Fälldin
Utbildningens innehåll måste stå i centrum för reformarbetet inom den högre utbildningen. Basresurserna för forskning vid universitet och högskolor förstärks. Förslaget om den nya högskoleorganisationen remissbehandlas. Ingen totalspärr får finnas för tillträde till högskoleutbildning. Regionstyrelser inrättas. Ansvarsfördelningen mellan centrala och lokala myndigheter ses över.,1976-10-08,Torbjörn Fälldin
Det studiesociala stödet reformeras.,1976-10-08,Torbjörn Fälldin
Stödet till kulturlivet förstärks och decentraliseras. Litteraturstödet reformeras. Kulturskaparnas ekonomiska situation förbättras.,1976-10-08,Torbjörn Fälldin
"Förslag kommer under perioden att föreläggas riksdagen om en ny organisation av radio-TV-verksamheten, som bättre tillgodoser krav på decentralisering och mångsidighet.",1976-10-08,Torbjörn Fälldin
Presstödet skall så långt som möjligt bygga på automatiskt verkande regler. Diskrimineringinen av invandrar- och minoritetstidningar upphör. Tidskriftsstödet byggs ut.,1976-10-08,Torbjörn Fälldin
Den politik som här redovisats skall regeringen således arbeta för.,1976-10-08,Torbjörn Fälldin
För att upprepa:,1976-10-08,Torbjörn Fälldin
Med fasthet och ansvar skall vi föra en politik i hela folkets intresse. Därvid skall vi söka ett så brett samförstånd som möjligt.,1976-10-08,Torbjörn Fälldin
"Regeringsförklaring, 19771004, Torbjörn Fälldin",1977-10-04,Torbjörn Fälldin
"Eders Majestäter, Eders Kungliga Högheter, herr talman, ledamöter av Sveriges riksdag! Sveriges alliansfria utrikespolitik skall trygga vårt lands självständighet och demokratiska samhällsordning. Den skall bidra till fred och frihet, trygghet och rättvisa för världens folk.",1977-10-04,Torbjörn Fälldin
"Det är en central uppgift att värna om de mänskliga fri- och rättigheterna. De principer om människans okränkbarhet och frihet, som medborgarna i vårt land uppfattar som självklara, måste ligga till grund för en varaktig fred.",1977-10-04,Torbjörn Fälldin
Det nordiska samarbetet befinner sig i ett aktivt skede. Industri- och energipolitiken ges särskilt hög prioritet.,1977-10-04,Torbjörn Fälldin
Uppföljningskonferensen till Helsingforsavtalet bör kunna bidra till att stärka säkerheten och samhörigheten i Europa som helhet. Regeringen verkar för fördjupade förbindelser med alla Europas länder.,1977-10-04,Torbjörn Fälldin
Strävandena till självständighet och oberoende på olika håll i världen har aktivt svenskt stöd. Det gäller inte minst de ansträngningar som görs att uppnå självständighet i Zimbabwe och Namibia. De svenska insatserna för att stödja kampen för frigörelse i södra Afrika kommer att öka ytterligare. Sverige arbetar också för att öka det internationella trycket på Sydafrika.,1977-10-04,Torbjörn Fälldin
"Samarbetet inom Förenta nationernas ram utgör sedan länge en hörnsten i svensk utrikespolitik. Under det kommande året fäster regeringen särskild vikt vid de fortsatta ansträngningarna att hejda den pågående kapprustningen, speciellt på kärnvapenområdet.",1977-10-04,Torbjörn Fälldin
"Den biståndspolitiska utredningens förslag bekräftar den breda politiska enigheten om behovet av ett omfattande u-landsbistånd. Regeringens förslag kommer att föreläggas riksdagen i vår. Då kommer också förslag till utvidgat samarbete med u-länderna på industriområdet att redovisas. Sverige spelar en pådrivande roll j det omfattande förhandlingsarbete om en mer rättvis ekonomisk världsordning, som pågår inom Förenta nationernas olika organ.",1977-10-04,Torbjörn Fälldin
"Neutralitetspolitiken stöds av ett starkt totalförsvar. Med utgångspunkt 1977 års försvarsbeslut kommer förslag att läggas fram om ändringar i försvarets fredsorganisation, ändrad organisation av försvarsmaktens centrala ledning, ny befälsordning och ändringar i vapenfrilagen. När det gäller flygvapnets framtida utformning avvaktar regeringen det beslutsunderlag som inom kort kommer att redovisas av den beredning som studerar frågan.",1977-10-04,Torbjörn Fälldin
Den ekonomiska utvecklingen i stora delar av industrivärlden är fortfarande svag. Påfrestningarna på den svenska ekonomin är betydande. Genom kostnadsstegringarna har såväl exportindustrins som hemmamarknadsindustrins internationella konkurrenskraft allvarligt försvagats. För att långsiktigt kunna möta växande konkurrens från nya länder och företag står det svenska näringslivet samtidigt inför mer omfattande omställningsproblem än någon gång tidigare. Prishöjningarna på sådana viktiga importvaror som olja och kaffe har bara på några få år kraftigt fördyrat den samlade svenska importen. Därtill kvarstår kraven att på sikt betala igen de utlandslån som varit nödvändiga för att bevara en hög sysselsättning även under lågkonjunkturåren.,1977-10-04,Torbjörn Fälldin
"De för svensk ekonomi ytterst ogynnsamma yttre förhållandena kräver en stram ekonomisk politik, kombinerad med kraftfulla insatser för att stärka det svenska näringslivets internationella konkurrenskraft. Regeringens ekonomiska politik kommer att vara inriktad på att skapa förutsättningar för en lugn pris- och kostnadsutveckling. Industrikriserna skall övervinnas. Sysselsättningen skall värnas och exporten och investeringarna stimuleras.",1977-10-04,Torbjörn Fälldin
Den svaga tillväxten i ekonomin medför att utrymmet för privat konsumtionsökning under det närmaste året är mycket begränsat. Det tillgängliga utrymmet måste i första hand användas till insatser för det kraftigt växande antalet pensionärer och för barnfamiljerna och andra utsatta grupper. För dem som befinner sig i yrkesverksam ålder är en aktiv sysselsättningspolitik av främsta betydelse. För flertalet löntagare innebär införandet av en femte semestervecka en betydelsefull standardförbättring. Det pågående arbetet med statsbudgeten måste i likhet med utgiftspolitiken i kommuner och landsting präglas av mycket stor återhållsamhet.,1977-10-04,Torbjörn Fälldin
"Den centrala uppgiften blir liksom tidigare att trygga en hög sysselsättning. Den ekonomiska politiken måste inriktas på att förbättra balansen i utrikesaffärerna samt att hålla tillbaka pris- och kostnadsökningarna. En sådan utveckling är i sin tur en förutsättning för uppgång i produktionen, ökade investeringar och förbättrad sysselsättning. De arbetsmarknadspolitiska och regionalpolitiska insatserna måste intensifieras för att möta en hotande ökning av arbetslösheten under vintern. Fortsatta insatser av stor omfattning är också nödvändiga för att förhindra utslagning av företag i direkt krisdrabbade branscher. Konkurrenskraften måste förstärkas bl.a. genom en ökad satsning på teknisk utveckling och forskning.",1977-10-04,Torbjörn Fälldin
Regeringens tidigare i höst framlagda stabiliseringsprogram har denna inriktning. Inom ramen för detta har den svenska kronans värde skrivits ned med 10 %. Valutapolitiken har getts en fast inriktning inför framtiden. Förslag kommer att läggas fram om en sänkning av den allmänna arbetsgivaravgiften med 2 % och om åtgärder för att öka sparandet. Allmänt prisstopp gäller t.o.m. utgången av oktober månad.,1977-10-04,Torbjörn Fälldin
De omfattande arbetsmarknadspolitiska och industripolitiska insatserna har hittills förhindrat arbetslöshet av den omfattning som förekornmer i många andra länder. De fortsatta insatserna kommer bl.a. att ta sikte på att mildra den höga och ihållande ungdomsarbetslösheten.,1977-10-04,Torbjörn Fälldin
Som ett led i de långsiktiga ansträngningarna att trygga arbete åt alla kommer fårslag att läggas fram om ett nytt huvudmannaskap och statlig finansiering av den skyddade sysselsättningen och den yrkesinriktade rehabiliteringen. Arbetsförmedlingen kommer att byggas ut och effektiviseras ytterligare. Förslag läggs fram som syftar till att invandrare skall få snabbare besked om uppehålls- och arbetstillstånd.,1977-10-04,Torbjörn Fälldin
På det industripolitiska området kommer riksdagen att föreläggas förslag om ytterligare insatser inom tekoområdet. Vidare framläggs förslag om åtgärder för stålindustrin så snart resultat föreligger av de pågående förhandlingarna. Förslag läggs också fram om åtgärder som syftar till att säkerställa en konkurrenskraftig svensk dataindustri. Statens ekonomiska åtaganden för dessa och andra branschåtgärder beräknas till cirka 6 miljarder kronor.,1977-10-04,Torbjörn Fälldin
I syfte att stärka det svenska näringslivets långsiktiga konkurrenskraft och expansion kommer regeringen att bl.a. föreslå riksdagen olika näringspolitiska och skattepolitiska åtgärder för att underlätta utvecklingen i mindre och medelstora företag. Förslag kommer också att läggas fram om förbättrad exportkreditfinansiering.,1977-10-04,Torbjörn Fälldin
För ett litet land med stor utrikeshandel är det angeläget att en fri världshandel bevaras och ansatserna till ökad protektionism tillbakavisas. Denna inställning präglar bl.a. det svenska uppträdandet i GATT-förhandlingarna som nu går in i ett intensivare skede. Avsteg från frihandelsprincipen bör endast få förekomma i ytterst speciella fall. Principerna för detta har diskuterats bl.a. vid förhandlingar om ett nytt avtal på textilområdet. I anslutning härtill görs nu en översyn av de svenska importreglerna på tekoområdet.,1977-10-04,Torbjörn Fälldin
På skatteområdet kommer regeringen efter kontakt med arbetsmarknadens parter att bl.a. lägga fram förslag om reformering av den statliga inkomstbeskattningen. Kampen skärps mot skatteundandragande i olika former.,1977-10-04,Torbjörn Fälldin
